component,eval,mean,std
D_clin_all,overall,1.0,0.0
D_clin_all,TCGA-BRCA,1.0,0.0
D_clin_all,TCGA-COAD,1.0,0.0
D_clin_all,TCGA-GBM,1.0,0.0
D_clin_all,TCGA-HNSC,1.0,0.0
D_clin_all,TCGA-KIRC,1.0,0.0
D_clin_all,TCGA-LGG,1.0,0.0
D_clin_all,TCGA-LUAD,1.0,0.0
D_clin_all,TCGA-LUSC,1.0,0.0
D_clin_all,TCGA-OV,1.0,0.0
D_clin_all,TCGA-PRAD,1.0,0.0
D_clin_mol,overall,1.0,0.0
D_clin_mol,TCGA-BRCA,1.0,0.0
D_clin_mol,TCGA-COAD,1.0,0.0
D_clin_mol,TCGA-GBM,1.0,0.0
D_clin_mol,TCGA-HNSC,1.0,0.0
D_clin_mol,TCGA-KIRC,1.0,0.0
D_clin_mol,TCGA-LGG,1.0,0.0
D_clin_mol,TCGA-LUAD,1.0,0.0
D_clin_mol,TCGA-LUSC,1.0,0.0
D_clin_mol,TCGA-OV,1.0,0.0
D_clin_mol,TCGA-PRAD,1.0,0.0
D_clin_path,overall,1.0,0.0
D_clin_path,TCGA-BRCA,1.0,0.0
D_clin_path,TCGA-COAD,1.0,0.0
D_clin_path,TCGA-GBM,1.0,0.0
D_clin_path,TCGA-HNSC,1.0,0.0
D_clin_path,TCGA-KIRC,1.0,0.0
D_clin_path,TCGA-LGG,1.0,0.0
D_clin_path,TCGA-LUAD,1.0,0.0
D_clin_path,TCGA-LUSC,1.0,0.0
D_clin_path,TCGA-OV,1.0,0.0
D_clin_path,TCGA-PRAD,1.0,0.0
D_clin_wsi,overall,1.0,0.0
D_clin_wsi,TCGA-BRCA,1.0,0.0
D_clin_wsi,TCGA-COAD,1.0,0.0
D_clin_wsi,TCGA-GBM,1.0,0.0
D_clin_wsi,TCGA-HNSC,1.0,0.0
D_clin_wsi,TCGA-KIRC,1.0,0.0
D_clin_wsi,TCGA-LGG,1.0,0.0
D_clin_wsi,TCGA-LUAD,1.0,0.0
D_clin_wsi,TCGA-LUSC,1.0,0.0
D_clin_wsi,TCGA-OV,1.0,0.0
D_clin_wsi,TCGA-PRAD,1.0,0.0
D_mol_all,overall,0.7292066259808195,0.010197169323252635
D_mol_all,TCGA-BRCA,0.7125581395348837,0.01521435091515918
D_mol_all,TCGA-COAD,0.4183908045977012,0.025182646322076604
D_mol_all,TCGA-GBM,0.9830508474576272,0.0
D_mol_all,TCGA-HNSC,0.698076923076923,0.01096322524133786
D_mol_all,TCGA-KIRC,0.6672897196261681,0.026924972506332585
D_mol_all,TCGA-LGG,0.5705882352941177,0.018858219668305268
D_mol_all,TCGA-LUAD,0.6540000000000001,0.03974921382870358
D_mol_all,TCGA-LUSC,0.7734693877551021,0.026412610419479142
D_mol_all,TCGA-OV,0.8155172413793104,0.013073923179399219
D_mol_all,TCGA-PRAD,0.9280000000000002,0.004472135954999584
D_mol_clin,overall,0.6988666085440279,0.009700562194037407
D_mol_clin,TCGA-BRCA,0.7041860465116279,0.019896976405774338
D_mol_clin,TCGA-COAD,0.36781609195402304,0.03351121778646725
D_mol_clin,TCGA-GBM,0.9830508474576272,0.0
D_mol_clin,TCGA-HNSC,0.6826923076923077,0.006799103665255241
D_mol_clin,TCGA-KIRC,0.6224299065420561,0.015638505168861228
D_mol_clin,TCGA-LGG,0.5254901960784313,0.017809707965279375
D_mol_clin,TCGA-LUAD,0.5579999999999999,0.050695167422546296
D_mol_clin,TCGA-LUSC,0.7204081632653061,0.033534034132969334
D_mol_clin,TCGA-OV,0.7982758620689655,0.011565868849136825
D_mol_clin,TCGA-PRAD,0.9200000000000002,1.2412670766236366e-16
D_mol_path,overall,0.6974716652136006,0.012558727367818582
D_mol_path,TCGA-BRCA,0.6995348837209303,0.014927261893842992
D_mol_path,TCGA-COAD,0.3793103448275862,0.02815505451474917
D_mol_path,TCGA-GBM,0.9830508474576272,0.0
D_mol_path,TCGA-HNSC,0.6788461538461539,0.008600261451922237
D_mol_path,TCGA-KIRC,0.6336448598130842,0.027566133091126405
D_mol_path,TCGA-LGG,0.5235294117647058,0.014868383223630483
D_mol_path,TCGA-LUAD,0.548,0.05263078946776307
D_mol_path,TCGA-LUSC,0.7142857142857142,0.03607687659115039
D_mol_path,TCGA-OV,0.793103448275862,0.010558145443030938
D_mol_path,TCGA-PRAD,0.9200000000000002,1.2412670766236366e-16
D_mol_wsi,overall,0.6955536181342634,0.010808701315689624
D_mol_wsi,TCGA-BRCA,0.7013953488372093,0.012906452953964248
D_mol_wsi,TCGA-COAD,0.37241379310344824,0.034097464308485814
D_mol_wsi,TCGA-GBM,0.9830508474576272,0.0
D_mol_wsi,TCGA-HNSC,0.676923076923077,0.010963225241337861
D_mol_wsi,TCGA-KIRC,0.6317757009345794,0.027724106493815567
D_mol_wsi,TCGA-LGG,0.5196078431372549,0.024995193694082287
D_mol_wsi,TCGA-LUAD,0.542,0.040865633483405085
D_mol_wsi,TCGA-LUSC,0.7122448979591838,0.027380424214283168
D_mol_wsi,TCGA-OV,0.7948275862068966,0.012786549115682161
D_mol_wsi,TCGA-PRAD,0.914,0.005477225575051666
D_path_all,overall,0.9447253705318222,0.002511745473563696
D_path_all,TCGA-BRCA,0.9953488372093023,0.005696487773914351
D_path_all,TCGA-COAD,0.974712643678161,0.014986672195868179
D_path_all,TCGA-GBM,0.9203389830508474,0.015394832308970293
D_path_all,TCGA-HNSC,0.9788461538461538,0.008044807947443045
D_path_all,TCGA-KIRC,0.9906542056074766,0.0
D_path_all,TCGA-LGG,0.9607843137254901,0.018341457778303615
D_path_all,TCGA-LUAD,0.85,0.025495097567963948
D_path_all,TCGA-LUSC,0.7795918367346939,0.018536634821005073
D_path_all,TCGA-OV,0.9448275862068967,0.015660260452228413
D_path_all,TCGA-PRAD,0.9940000000000001,0.0054772255750516665
D_path_clin,overall,0.9428073234524847,0.004471100751511133
D_path_clin,TCGA-BRCA,0.9962790697674417,0.00606437433042105
D_path_clin,TCGA-COAD,0.9701149425287356,0.013105464656311948
D_path_clin,TCGA-GBM,0.9203389830508474,0.015394832308970293
D_path_clin,TCGA-HNSC,0.9692307692307691,0.01253692770231278
D_path_clin,TCGA-KIRC,0.9906542056074766,0.0
D_path_clin,TCGA-LGG,0.9549019607843137,0.011178190442148427
D_path_clin,TCGA-LUAD,0.836,0.020736441353327705
D_path_clin,TCGA-LUSC,0.7795918367346938,0.029397674063036634
D_path_clin,TCGA-OV,0.9551724137931036,0.014165238556168113
