component,eval,mean,std
all_modalities,overall,0.999128160418483,0.0
all_modalities,TCGA-BRCA,1.0,0.0
all_modalities,TCGA-COAD,1.0,0.0
all_modalities,TCGA-GBM,1.0,0.0
all_modalities,TCGA-HNSC,1.0,0.0
all_modalities,TCGA-KIRC,1.0,0.0
all_modalities,TCGA-LGG,1.0,0.0
all_modalities,TCGA-LUAD,1.0,0.0
all_modalities,TCGA-LUSC,0.9897959183673469,0.0
all_modalities,TCGA-OV,1.0,0.0
all_modalities,TCGA-PRAD,1.0,0.0
clinical_qwen,overall,1.0,0.0
clinical_qwen,TCGA-BRCA,1.0,0.0
clinical_qwen,TCGA-COAD,1.0,0.0
clinical_qwen,TCGA-GBM,1.0,0.0
clinical_qwen,TCGA-HNSC,1.0,0.0
clinical_qwen,TCGA-KIRC,1.0,0.0
clinical_qwen,TCGA-LGG,1.0,0.0
clinical_qwen,TCGA-LUAD,1.0,0.0
clinical_qwen,TCGA-LUSC,1.0,0.0
clinical_qwen,TCGA-OV,1.0,0.0
clinical_qwen,TCGA-PRAD,1.0,0.0
molecular,overall,0.5091543156059285,0.0
molecular,TCGA-BRCA,0.6976744186046512,0.0
molecular,TCGA-COAD,0.21839080459770116,0.0
molecular,TCGA-GBM,1.0,0.0
molecular,TCGA-HNSC,0.3173076923076923,0.0
molecular,TCGA-KIRC,0.028037383177570093,0.0
molecular,TCGA-LGG,0.029411764705882353,0.0
molecular,TCGA-LUAD,0.58,0.0
molecular,TCGA-LUSC,0.5102040816326531,0.0
molecular,TCGA-OV,0.6551724137931034,0.0
molecular,TCGA-PRAD,0.74,0.0
pathology_qwen,overall,0.9659982563208369,0.0
pathology_qwen,TCGA-BRCA,1.0,0.0
pathology_qwen,TCGA-COAD,0.9770114942528736,0.0
pathology_qwen,TCGA-GBM,0.9576271186440678,0.0
pathology_qwen,TCGA-HNSC,0.9807692307692307,0.0
pathology_qwen,TCGA-KIRC,0.9906542056074766,0.0
pathology_qwen,TCGA-LGG,0.9901960784313726,0.0
pathology_qwen,TCGA-LUAD,0.91,0.0
pathology_qwen,TCGA-LUSC,0.8571428571428571,0.0
pathology_qwen,TCGA-OV,0.9568965517241379,0.0
pathology_qwen,TCGA-PRAD,1.0,0.0
wsi,overall,0.4237140366172624,0.0
wsi,TCGA-BRCA,0.9534883720930233,0.0
wsi,TCGA-COAD,0.3218390804597701,0.0
wsi,TCGA-GBM,0.4152542372881356,0.0
wsi,TCGA-HNSC,0.18269230769230768,0.0
wsi,TCGA-KIRC,0.48598130841121495,0.0
wsi,TCGA-LGG,0.22549019607843138,0.0
wsi,TCGA-LUAD,0.26,0.0
wsi,TCGA-LUSC,0.12244897959183673,0.0
wsi,TCGA-OV,0.3620689655172414,0.0
wsi,TCGA-PRAD,0.3,0.0
