panel,method,drop_rate,metric,mean,std,n
"Panel A: molecular available, drop WSI",Early fusion + mask,0.0,balanced_accuracy,0.6333548145290213,0.0,50
"Panel A: molecular available, drop WSI",Early fusion + mask,0.1,balanced_accuracy,0.5884040936443267,0.005408685597067642,50
"Panel A: molecular available, drop WSI",Early fusion + mask,0.2,balanced_accuracy,0.5428536359316479,0.009176901553025198,50
"Panel A: molecular available, drop WSI",Early fusion + mask,0.30000000000000004,balanced_accuracy,0.49938120016854065,0.009655973179873293,50
"Panel A: molecular available, drop WSI",Early fusion + mask,0.4,balanced_accuracy,0.4535549278297274,0.008769021385807634,50
"Panel A: molecular available, drop WSI",Early fusion + mask,0.5,balanced_accuracy,0.41075013997610144,0.012351193878950064,50
"Panel A: molecular available, drop WSI",Early fusion + mask,0.6000000000000001,balanced_accuracy,0.36356409209507956,0.009363542058374034,50
"Panel A: molecular available, drop WSI",Early fusion + mask,0.7000000000000001,balanced_accuracy,0.31968972587366473,0.009702663550254944,50
"Panel A: molecular available, drop WSI",Early fusion + mask,0.8,balanced_accuracy,0.27671767988003876,0.009062830788475362,50
"Panel A: molecular available, drop WSI",Early fusion + mask,0.9,balanced_accuracy,0.23199171126500784,0.00612598044765441,50
"Panel A: molecular available, drop WSI",Early fusion + mask,1.0,balanced_accuracy,0.18621064977715224,0.0,50
"Panel A: molecular available, drop WSI",Early fusion + mean imputation,0.0,balanced_accuracy,0.632935510967562,0.0,50
"Panel A: molecular available, drop WSI",Early fusion + mean imputation,0.1,balanced_accuracy,0.6159904462887312,0.004706643494290179,50
"Panel A: molecular available, drop WSI",Early fusion + mean imputation,0.2,balanced_accuracy,0.5977544301399536,0.007884273818042934,50
"Panel A: molecular available, drop WSI",Early fusion + mean imputation,0.30000000000000004,balanced_accuracy,0.5789425822102977,0.007313382910057718,50
"Panel A: molecular available, drop WSI",Early fusion + mean imputation,0.4,balanced_accuracy,0.5615467830532198,0.007701868714022666,50
"Panel A: molecular available, drop WSI",Early fusion + mean imputation,0.5,balanced_accuracy,0.5460758913313568,0.009605432207535685,50
"Panel A: molecular available, drop WSI",Early fusion + mean imputation,0.6000000000000001,balanced_accuracy,0.5269354507028368,0.007481376763163216,50
