seed,repeat,panel,dropped_modality,drop_rate,method,metric,value
2,0,"Panel A: molecular available, drop WSI",wsi,0.0,RePercENT,macro_f1,0.7475324259444054
2,0,"Panel A: molecular available, drop WSI",wsi,0.0,Late fusion + averaging,macro_f1,0.64012646397466
2,0,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mean imputation,macro_f1,0.6217337936272808
2,0,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mask,macro_f1,0.6211056543692102
2,0,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + modality dropout,macro_f1,0.6932163746367419
2,1,"Panel A: molecular available, drop WSI",wsi,0.0,RePercENT,macro_f1,0.7475324259444054
2,1,"Panel A: molecular available, drop WSI",wsi,0.0,Late fusion + averaging,macro_f1,0.64012646397466
2,1,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mean imputation,macro_f1,0.6217337936272808
2,1,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mask,macro_f1,0.6211056543692102
2,1,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + modality dropout,macro_f1,0.6932163746367419
2,2,"Panel A: molecular available, drop WSI",wsi,0.0,RePercENT,macro_f1,0.7475324259444054
2,2,"Panel A: molecular available, drop WSI",wsi,0.0,Late fusion + averaging,macro_f1,0.64012646397466
2,2,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mean imputation,macro_f1,0.6217337936272808
2,2,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mask,macro_f1,0.6211056543692102
2,2,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + modality dropout,macro_f1,0.6932163746367419
2,3,"Panel A: molecular available, drop WSI",wsi,0.0,RePercENT,macro_f1,0.7475324259444054
2,3,"Panel A: molecular available, drop WSI",wsi,0.0,Late fusion + averaging,macro_f1,0.64012646397466
2,3,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mean imputation,macro_f1,0.6217337936272808
2,3,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mask,macro_f1,0.6211056543692102
2,3,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + modality dropout,macro_f1,0.6932163746367419
2,4,"Panel A: molecular available, drop WSI",wsi,0.0,RePercENT,macro_f1,0.7475324259444054
2,4,"Panel A: molecular available, drop WSI",wsi,0.0,Late fusion + averaging,macro_f1,0.64012646397466
2,4,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mean imputation,macro_f1,0.6217337936272808
2,4,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mask,macro_f1,0.6211056543692102
2,4,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + modality dropout,macro_f1,0.6932163746367419
2,5,"Panel A: molecular available, drop WSI",wsi,0.0,RePercENT,macro_f1,0.7475324259444054
2,5,"Panel A: molecular available, drop WSI",wsi,0.0,Late fusion + averaging,macro_f1,0.64012646397466
2,5,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mean imputation,macro_f1,0.6217337936272808
2,5,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mask,macro_f1,0.6211056543692102
2,5,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + modality dropout,macro_f1,0.6932163746367419
2,6,"Panel A: molecular available, drop WSI",wsi,0.0,RePercENT,macro_f1,0.7475324259444054
2,6,"Panel A: molecular available, drop WSI",wsi,0.0,Late fusion + averaging,macro_f1,0.64012646397466
2,6,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mean imputation,macro_f1,0.6217337936272808
2,6,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mask,macro_f1,0.6211056543692102
2,6,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + modality dropout,macro_f1,0.6932163746367419
2,7,"Panel A: molecular available, drop WSI",wsi,0.0,RePercENT,macro_f1,0.7475324259444054
2,7,"Panel A: molecular available, drop WSI",wsi,0.0,Late fusion + averaging,macro_f1,0.64012646397466
2,7,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mean imputation,macro_f1,0.6217337936272808
2,7,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mask,macro_f1,0.6211056543692102
2,7,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + modality dropout,macro_f1,0.6932163746367419
2,8,"Panel A: molecular available, drop WSI",wsi,0.0,RePercENT,macro_f1,0.7475324259444054
2,8,"Panel A: molecular available, drop WSI",wsi,0.0,Late fusion + averaging,macro_f1,0.64012646397466
2,8,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mean imputation,macro_f1,0.6217337936272808
2,8,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mask,macro_f1,0.6211056543692102
2,8,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + modality dropout,macro_f1,0.6932163746367419
2,9,"Panel A: molecular available, drop WSI",wsi,0.0,RePercENT,macro_f1,0.7475324259444054
2,9,"Panel A: molecular available, drop WSI",wsi,0.0,Late fusion + averaging,macro_f1,0.64012646397466
2,9,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mean imputation,macro_f1,0.6217337936272808
2,9,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + mask,macro_f1,0.6211056543692102
2,9,"Panel A: molecular available, drop WSI",wsi,0.0,Early fusion + modality dropout,macro_f1,0.6932163746367419
2,0,"Panel A: molecular available, drop WSI",wsi,0.1,RePercENT,macro_f1,0.7411649908567295
2,0,"Panel A: molecular available, drop WSI",wsi,0.1,Late fusion + averaging,macro_f1,0.6295732098682438
2,0,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + mean imputation,macro_f1,0.6085020079294245
2,0,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + mask,macro_f1,0.5772260094176016
2,0,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + modality dropout,macro_f1,0.6820947832349309
2,1,"Panel A: molecular available, drop WSI",wsi,0.1,RePercENT,macro_f1,0.7416114894785849
2,1,"Panel A: molecular available, drop WSI",wsi,0.1,Late fusion + averaging,macro_f1,0.619522010015807
2,1,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + mean imputation,macro_f1,0.6025292698166591
2,1,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + mask,macro_f1,0.5778509709364927
2,1,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + modality dropout,macro_f1,0.6688635612579371
2,2,"Panel A: molecular available, drop WSI",wsi,0.1,RePercENT,macro_f1,0.7372349103103961
2,2,"Panel A: molecular available, drop WSI",wsi,0.1,Late fusion + averaging,macro_f1,0.6314361217658558
2,2,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + mean imputation,macro_f1,0.6067479499632192
2,2,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + mask,macro_f1,0.574946249768701
2,2,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + modality dropout,macro_f1,0.6835199740029259
2,3,"Panel A: molecular available, drop WSI",wsi,0.1,RePercENT,macro_f1,0.7421735793181082
2,3,"Panel A: molecular available, drop WSI",wsi,0.1,Late fusion + averaging,macro_f1,0.6184350124918325
2,3,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + mean imputation,macro_f1,0.5945611959658732
2,3,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + mask,macro_f1,0.5632493056057493
2,3,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + modality dropout,macro_f1,0.6766334665017002
2,4,"Panel A: molecular available, drop WSI",wsi,0.1,RePercENT,macro_f1,0.7389139863117014
2,4,"Panel A: molecular available, drop WSI",wsi,0.1,Late fusion + averaging,macro_f1,0.6179295521450141
2,4,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + mean imputation,macro_f1,0.6007566726331054
2,4,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + mask,macro_f1,0.5776882718497877
2,4,"Panel A: molecular available, drop WSI",wsi,0.1,Early fusion + modality dropout,macro_f1,0.6726581263264351
2,5,"Panel A: molecular available, drop WSI",wsi,0.1,RePercENT,macro_f1,0.7341967183712848
2,5,"Panel A: molecular available, drop WSI",wsi,0.1,Late fusion + averaging,macro_f1,0.6276611748081609
